1,The Most Wanted Parfum,Azzaro,The Most Wanted Parfum,89.99,https://scenthood.s3.us-east-2.amazonaws.com/Azzaro_theMost_wanted_parfum.jpg,20
6,Acqua di Giò Profumo,Giorgio Armani,"Acqua di Giò Profumo by Giorgio Armani is a Aromatic Aquatic fragrance for men. Acqua di Giò Profumo was launched in 2015. The nose behind this fragrance is Alberto Morillas. Top notes are Sea Notes and Bergamot; middle notes are Rosemary, Sage and Geranium; base notes are Incense and Patchouli.",89.7,https://scenthood.s3.us-east-2.amazonaws.com/profumo.jpg,100
6,Armani Code Absolu,Giorgio Armani,"Armani Code Absolu by Giorgio Armani is a Amber Spicy fragrance for men. Armani Code Absolu was launched in 2019. The nose behind this fragrance is Antoine Maisondieu. Top notes are Green Mandarin and Apple; middle notes are Nutmeg, Orange Blossom and Carrot Seeds; base notes are Vanilla, Tonka Bean, Suede and Woody Notes.",120.79,https://scenthood.s3.us-east-2.amazonaws.com/absolu.jpg,100
6,Armani Code Eau de Parfum,Giorgio Armani,"Armani Code Eau de Parfum by Giorgio Armani is a Amber Fougere fragrance for men. Armani Code Eau de Parfum was launched in 2021. The nose behind this fragrance is Antoine Maisondieu. Top notes are Lavender, Lemon and Bergamot; middle note is Tonka Bean; base notes are Vanilla, Suede, Musk and Cedar.",122.49,https://scenthood.s3.us-east-2.amazonaws.com/code_edp.jpg,100
6,Emporio Armani Stronger With You Absolutely,Giorgio Armani,"Emporio Armani Stronger With You Absolutely by Giorgio Armani is a Amber Fougere fragrance for men. Emporio Armani Stronger With You Absolutely was launched in 2021. Top notes are Rum, elemi and Bergamot; middle notes are Lavender and Davana; base notes are Madagascar Vanilla, Chestnut, Cedar and Patchouli.",130.99,https://scenthood.s3.us-east-2.amazonaws.com/absolutely.jpg,100
7,Gentleman Eau de Parfum Reserve Privée,Givenchy,"Gentleman Eau de Parfum Reserve Privée by Givenchy is a Amber Vanilla fragrance for men. This is a new fragrance. Gentleman Eau de Parfum Reserve Privée was launched in 2022. Gentleman Eau de Parfum Reserve Privée was created by Nathalie Lorson and Olivier Cresp. Top note is Bergamot; middle notes are Iris and Chestnut; base notes are Whiskey, Woodsy Notes and Amber.",110.99,https://scenthood.s3.us-east-2.amazonaws.com/gentleman.jpg,100
2,Gucci Guilty Intense Pour Homme,Gucci,"Gucci Guilty Intense Pour Homme by Gucci is a Woody Aromatic fragrance for men. Gucci Guilty Intense Pour Homme was launched in 2011. Top notes are Lavender, Amalfi Lemon and Coriander; middle notes are African Orange Flower and Neroli; base notes are Amber, Patchouli and Virginia Cedar.",62.99,https://scenthood.s3.us-east-2.amazonaws.com/gucci_guilty.jpg,100
2,L’Homme Ideal Eau de Parfum,Guerlain,"L’Homme Ideal Eau de Parfum by Guerlain is a Amber Woody fragrance for men. L’Homme Ideal Eau de Parfum was launched in 2016. L’Homme Ideal Eau de Parfum was created by Thierry Wasser and Delphine Jelk. Top notes are Almond, Spices, Lavender, Bergamot, Rosemary and Thyme; middle notes are Cherry, Vanilla, Incense and Bulgarian Rose; base notes are Leather, Tonka Bean and Sandalwood.",112.69,https://scenthood.s3.us-east-2.amazonaws.com/guerlain+edp.jpg,100
2,Terre d'Hermes Parfum,Hermès,"Terre d'Hermes Parfum by Hermès is a Woody Chypre fragrance for men. Terre d'Hermes Parfum was launched in 2009. The nose behind this fragrance is Jean-Claude Ellena. Top notes are Orange and Grapefruit; middle note is Flint; base notes are Woodsy Notes, oak moss and Benzoin.",123.49,https://scenthood.s3.us-east-2.amazonaws.com/hermes.jpg,100
2,Boss Bottled Eau de Parfum,Hugo Boss,"Boss Bottled Eau de Parfum by Hugo Boss is a Woody Spicy fragrance for men. Boss Bottled Eau de Parfum was launched in 2020. The nose behind this fragrance is Honorine Blanc. Top notes are Apple, Black Pepper and Bergamot; middle notes are Cinnamon, Chestnut and Cardamom; base notes are Musk and Vetiver.",62.99,https://scenthood.s3.us-east-2.amazonaws.com/boss_bottled.jpg,100
2,Boss Bottled Tonic,Hugo Boss,"Boss Bottled Tonic by Hugo Boss is a Woody Spicy fragrance for men. Boss Bottled Tonic was launched in 2017. Top notes are Apple, Bitter Orange, Grapefruit and Lemon; middle notes are Ginger, Cinnamon, Geranium and Cloves; base notes are Woodsy Notes and Vetiver.",37.99,https://scenthood.s3.us-east-2.amazonaws.com/tonic.jpg,100
2,Prada L'Homme,Prada,"Prada L'Homme by Prada is a Woody Chypre fragrance for men. Prada L'Homme was launched in 2016. The nose behind this fragrance is Daniela (Roche) Andrier. Top notes are Neroli, Black Pepper, Cardamom and Carrot Seeds; middle notes are Iris, Violet, Geranium and Mate; base notes are Amber, Cedar, Sandalwood and Patchouli.",109.99,https://scenthood.s3.us-east-2.amazonaws.com/Prada_lhomme.jpg,10
